productId;title;genres
319;nitroprusiato de sodio;
320;oxalato de cobalto;
321;oxalato de potasio;
322;oxalato de sodio;
323;oxido de cadmio;
324;orto-tolidina;
325;oxalato de amonio;
326;oxalato de calcio;
327;oxalato de litio;
328;parafina solida;
329;parafina en lentejas;
330;pectina citrica;
331;pentoxido de vanadio;
332;perborato sodico;
333;perclorato de potasio;
334;perclorato de sodio;
335;persulfato de amonio;
336;persulfato de potasio;
337;picrato de plomo;
338;piedra pomez en polvo;
339;pigmento amarillo;
340;pigmento amarillo palido;
341;pigmento azul inorganico;
342;pirufosfato de sodio;
343;pirofosfato acido sodico;
344;plomo electrolitico granulado;
345;plomo en laminas ;
346;plomo metalico granulado;
347;plomo microperlas;
348;p-nitroanilina;
349;polisorbato 60 tween;
350;p-bromofenol;
351;resina intercambio ambiental;
352;resina anionica;
353;sacarina sodica;
354;sacarosa;
355;sal industrial;
356;sal amonio;
357;sal stripper;
358;salicilato de sodio;
359;selenio puro;
360;selenio powder;
361;selenio en polvo;
362;selenito de sodio;
363;silicagel azul;
364;silicagel en polvo;
365;silicagel usp;
366;silicagel para cromatografia;
367;silicagel para columna;
368;silicato de aluminio;
369;silice amorfa;
370;sodio sulfocianuro;
371;sorbato de potasio;
372;subacetato de plomo;
373;sucrosa de plomo;
374;sub nitrato de bismuto;
375;sulfamato de amonio;
376;sulfanilamida;
377;sulfato de aluminio;
378;sulfato de amonio y aluminio;
379;sulfato de amonio y niquel;
380;sulfato de bario;
381;sulfato de cadmio;
382;sulfato de calcio;
383;sulfato de cobre anhidro;
384;sulfato cuprico;
385;sulfato de cromo;
386;sulfato cuprico;
387;sulfato cromico puro;
388;sulfato de cobalto;
389;sulfato ferrico;
390;sulfato de hierro;
391;sulfato de fierro tco;
392;sulfato ferroso;
393;sulfato de potasio;
394;sulfato de titanio;
395;sulfato de zinc;
396;sulfito de sodio;
397;sulfito de zinc;
398;sulfuro de cadmio tco;
399;sulfuro ferroso 7 hidratos;
400;sulfuro de hierro ii;
401;sulfuro de sodio tco;
402;sulfuro de plomo;
403;sulfato de magnesio heptahidrato;
404;sulfuro manganeso;
405;sulfato de niquel;
406;sulfato de mercurio;
407;sulfato basico de mercurio;
408;sulfato de plomo;
409;sulfato de potasio y aluminio;
410;sulfato ferrico 18 hidratos;
411;sulfato ferrico 9 hidratos;
412;sulfato ferrico 6 hidratos;
413;sulfato de sodio;
414;tartrato antimonico potasico;
415;tartrato de potasio;
416;tartrato potasio y antimonio;
417;tartrato potasio y sodio;
418;tartrato de sodio;
419;tartrato de sodio y magnesio;
420;teobromina usp;
421;tetraborato de sodio;
422;tartracina amarilla;
423;texapon al 90 %;
424;timol;
425;timol en cristales;
426;tiocionato de amonio;
427;tiocionato de potasio;
428;ticionato de sodio;
429;tioglicolato de calcio;
430;tiocionato de cobalto;
431;tioglicolato de sodio;
432;tiosulfato de bario;
433;tiosulfato de potasio;
434;tiosulfato de sodio;
435;tiourea;
436;tricloruro de aluminio;
437;tricloruro ferrico;
438;tioglicolato de bario;
439;urea tecnica;
440;urea industrial;
441;vainilla;
442;verde malaquita;
443;verde brillante;
444;violeta de genciana;
445;vaselina solida;
446;yoduro de bismuto;
447;yoduro de potasio;
448;yodo bismutato potasio;
449;yoduro de mercurio;
450;yoduro de plomo;
451;zinc en granallas;
452;zinc en laminas;
453;zinc electrolitico;
454;zinc en polvo;
;;
